            5   0.808128E-04   0.000000E+00   0.294454E-03   0.519426E-03   0.467944E-02   0.000000E+00   0.829335E-02   0.363725E-02
           10   0.129641E-03   0.000000E+00   0.340065E-03   0.515768E-03   0.321172E-02   0.000000E+00   0.582938E-02   0.534341E-02
           15   0.128711E-03   0.000000E+00   0.337153E-03   0.530148E-03   0.374491E-02   0.000000E+00   0.562491E-02   0.264865E-02
           20   0.129130E-03   0.000000E+00   0.334596E-03   0.528872E-03   0.198474E-02   0.000000E+00   0.379067E-02   0.345651E-02
           25   0.159440E-03   0.000000E+00   0.360168E-03   0.493867E-03   0.238338E-02   0.000000E+00   0.343059E-02   0.227247E-02
           30   0.130940E-03   0.000000E+00   0.332612E-03   0.504065E-03   0.189936E-02   0.000000E+00   0.278874E-02   0.283761E-02
           35   0.165010E-03   0.000000E+00   0.360004E-03   0.458836E-03   0.280023E-02   0.000000E+00   0.367589E-02   0.244268E-02
           40   0.143296E-03   0.000000E+00   0.335130E-03   0.473743E-03   0.184259E-02   0.000000E+00   0.356716E-02   0.224982E-02
           45   0.166110E-03   0.000000E+00   0.354655E-03   0.436165E-03   0.164747E-02   0.000000E+00   0.272923E-02   0.224453E-02
           50   0.163489E-03   0.000000E+00   0.348972E-03   0.433041E-03   0.132689E-02   0.000000E+00   0.237542E-02   0.218555E-02
           55   0.164266E-03   0.000000E+00   0.343878E-03   0.413723E-03   0.229159E-02   0.000000E+00   0.236840E-02   0.226559E-02
           60   0.174480E-03   0.000000E+00   0.349172E-03   0.400523E-03   0.256559E-02   0.000000E+00   0.364562E-02   0.212814E-02
           65   0.172710E-03   0.000000E+00   0.342302E-03   0.397786E-03   0.158252E-02   0.000000E+00   0.303625E-02   0.217383E-02
           70   0.188254E-03   0.000000E+00   0.355667E-03   0.370978E-03   0.140123E-02   0.000000E+00   0.224940E-02   0.219024E-02
           75   0.184594E-03   0.000000E+00   0.349551E-03   0.371870E-03   0.147270E-02   0.000000E+00   0.221091E-02   0.213492E-02
           80   0.194102E-03   0.000000E+00   0.354670E-03   0.351827E-03   0.226413E-02   0.000000E+00   0.272131E-02   0.210444E-02
